,order_id,in_progress,picked,started_dispatch,in_dispatch_buffer,packed,dispatched,order_aborted,order_created_at,delivery_schedule,trip_id,num_of_lines,pr_time
10,2234761,2019-06-10 09:16:01,2019-06-10 09:23:58,2019-06-10 10:55:07,2019-06-10 11:00:01,2019-06-10 11:03:18,2019-06-10 18:21:11,,2019-06-10 04:15:33,2019-06-10 18:00:00,s_2019-06-10_21:00,1.0,0 days 14:05:38
11,2234763,2019-06-10 06:52:58,2019-06-10 07:21:02,2019-06-10 07:30:03,2019-06-10 07:34:36,2019-06-10 07:36:20,2019-06-10 16:29:21,,2019-06-10 04:22:29,2019-06-10 14:00:00,z_2019-06-10_17:00,9.0,0 days 12:06:52
12,2234785,2019-06-10 09:16:15,2019-06-10 09:23:27,2019-06-10 14:55:08,2019-06-10 14:59:51,2019-06-10 15:00:33,2019-06-10 18:21:12,,2019-06-10 05:18:42,2019-06-10 18:00:00,s_2019-06-10_21:00,2.0,0 days 13:02:30
13,2234794,2019-06-10 09:16:31,2019-06-10 12:08:50,2019-06-10 14:58:19,2019-06-10 15:01:48,2019-06-10 15:06:07,2019-06-10 18:21:12,,2019-06-10 05:31:29,2019-06-10 18:00:00,s_2019-06-10_21:00,21.0,0 days 12:49:43
14,2234796,2019-06-10 07:00:23,2019-06-10 07:17:29,2019-06-10 07:33:28,2019-06-10 07:40:33,2019-06-10 07:42:29,2019-06-10 16:29:21,,2019-06-10 05:32:29,2019-06-10 14:00:00,z_2019-06-10_17:00,15.0,0 days 10:56:52
15,2234827,2019-06-10 06:21:07,2019-06-10 06:32:34,2019-06-10 07:03:33,2019-06-10 07:11:29,2019-06-10 07:16:11,2019-06-10 20:16:38,,2019-06-10 06:10:36,2019-06-10 10:00:00,l_2019-06-10_13:00,4.0,0 days 14:06:02
16,2234836,2019-06-10 07:02:03,2019-06-10 07:11:28,2019-06-10 09:35:05,2019-06-10 09:42:23,2019-06-10 09:46:02,2019-06-10 16:29:21,,2019-06-10 06:21:29,2019-06-10 14:00:00,z_2019-06-10_17:00,13.0,0 days 10:07:52
17,2234837,2019-06-10 09:17:15,2019-06-10 09:28:13,2019-06-10 10:09:14,2019-06-10 10:12:41,2019-06-10 10:48:19,2019-06-10 18:21:13,,2019-06-10 06:23:29,2019-06-10 18:00:00,s_2019-06-10_21:00,4.0,0 days 11:57:44
18,2234846,2019-06-10 07:08:53,2019-06-10 07:13:12,2019-06-10 09:34:05,2019-06-10 09:39:33,2019-06-10 09:41:15,2019-06-10 16:29:22,,2019-06-10 06:43:29,2019-06-10 14:00:00,z_2019-06-10_17:00,1.0,0 days 09:45:53
19,2234854,2019-06-10 06:56:23,2019-06-10 07:08:40,2019-06-10 07:11:33,2019-06-10 07:17:04,2019-06-10 07:22:15,2019-06-10 20:16:39,,2019-06-10 06:54:44,2019-06-10 10:00:00,l_2019-06-10_13:00,10.0,0 days 13:21:55
20,2234868,2019-06-10 07:13:58,2019-06-10 07:23:32,2019-06-10 07:25:21,2019-06-10 07:33:23,2019-06-10 07:34:41,2019-06-10 16:29:22,,2019-06-10 07:13:30,2019-06-10 14:00:00,z_2019-06-10_17:00,11.0,0 days 09:15:52
21,2234876,2019-06-10 09:18:44,2019-06-10 09:28:50,2019-06-10 16:15:35,2019-06-10 16:20:41,2019-06-10 16:26:43,2019-06-10 18:21:13,,2019-06-10 07:23:29,2019-06-10 18:00:00,s_2019-06-10_21:00,2.0,0 days 10:57:44
22,2234886,2019-06-10 09:21:05,2019-06-10 12:22:16,2019-06-10 16:16:05,2019-06-10 16:20:11,2019-06-10 16:25:57,2019-06-10 18:21:26,,2019-06-10 07:41:30,2019-06-10 18:00:00,s_2019-06-10_21:00,11.0,0 days 10:39:56
23,2234889,2019-06-10 07:43:54,2019-06-10 08:03:13,2019-06-10 08:56:00,2019-06-10 09:04:17,2019-06-10 09:08:35,2019-06-10 16:29:22,,2019-06-10 07:41:40,2019-06-10 14:00:00,z_2019-06-10_17:00,3.0,0 days 08:47:42
24,2234909,2019-06-10 08:11:54,2019-06-10 09:15:59,2019-06-10 10:46:20,2019-06-10 11:07:09,2019-06-10 11:08:16,2019-06-10 16:29:23,,2019-06-10 08:11:31,2019-06-10 14:00:00,z_2019-06-10_17:00,8.0,0 days 08:17:52
25,2234915,2019-06-10 08:33:45,2019-06-10 08:39:48,2019-06-10 10:49:40,2019-06-10 11:07:41,2019-06-10 11:11:49,2019-06-10 16:29:23,,2019-06-10 08:22:32,2019-06-10 14:00:00,z_2019-06-10_17:00,1.0,0 days 08:06:51
26,2234917,2019-06-10 08:34:06,2019-06-10 09:08:55,2019-06-10 10:09:19,2019-06-10 10:38:15,2019-06-10 10:44:11,2019-06-10 16:29:26,,2019-06-10 08:26:30,2019-06-10 14:00:00,z_2019-06-10_17:00,23.0,0 days 08:02:56
27,2234956,2019-06-10 09:31:20,2019-06-10 11:52:06,2019-06-10 11:52:16,2019-06-10 12:09:50,2019-06-10 12:14:17,2019-06-10 16:29:23,,2019-06-10 09:27:30,2019-06-10 14:00:00,z_2019-06-10_17:00,17.0,0 days 07:01:53
28,2234972,2019-06-10 10:05:13,2019-06-10 10:15:28,2019-06-10 10:40:21,2019-06-10 10:49:59,2019-06-10 10:54:23,2019-06-10 18:21:16,,2019-06-10 09:54:27,2019-06-10 18:00:00,s_2019-06-10_21:00,9.0,0 days 08:26:49
29,2234980,2019-06-10 10:16:30,2019-06-10 11:53:56,2019-06-10 12:08:03,2019-06-10 12:33:08,2019-06-10 12:42:21,2019-06-10 16:29:26,,2019-06-10 10:15:27,2019-06-10 14:00:00,z_2019-06-10_17:00,14.0,0 days 06:13:59
30,2234996,2019-06-10 10:40:52,2019-06-10 10:51:23,2019-06-10 11:06:59,2019-06-10 11:09:19,2019-06-10 11:12:37,2019-06-10 16:29:25,,2019-06-10 10:34:27,2019-06-10 14:00:00,z_2019-06-10_17:00,1.0,0 days 05:54:58
31,2235615,2019-06-10 10:57:58,2019-06-10 11:08:25,2019-06-10 11:15:56,2019-06-10 11:21:22,2019-06-10 11:22:59,2019-06-10 18:21:12,,2019-06-10 05:08:28,2019-06-10 18:00:00,s_2019-06-10_21:00,4.0,0 days 13:12:44
32,2235640,2019-06-10 11:00:58,2019-06-10 11:14:16,2019-06-10 11:16:17,2019-06-10 11:21:40,2019-06-10 11:23:49,2019-06-10 18:21:17,,2019-06-10 06:01:30,2019-06-10 18:00:00,s_2019-06-10_21:00,6.0,0 days 12:19:47
33,2235641,2019-06-10 11:01:13,2019-06-10 11:12:30,2019-06-10 11:17:22,2019-06-10 11:23:00,2019-06-10 11:25:20,2019-06-10 18:21:13,,2019-06-10 06:02:29,2019-06-10 18:00:00,s_2019-06-10_21:00,6.0,0 days 12:18:44
34,2235648,2019-06-10 11:05:45,2019-06-10 11:14:41,2019-06-10 11:30:38,2019-06-10 11:39:29,2019-06-10 11:41:07,2019-06-10 18:21:10,,2019-06-10 06:12:30,2019-06-10 18:00:00,s_2019-06-10_21:00,7.0,0 days 12:08:40
35,2235660,2019-06-10 06:32:37,2019-06-10 07:08:03,2019-06-10 07:43:04,2019-06-10 07:51:43,2019-06-10 08:00:01,2019-06-10 20:16:38,,2019-06-10 06:31:30,2019-06-10 10:00:00,l_2019-06-10_13:00,19.0,0 days 13:45:08
36,2235662,2019-06-10 11:06:14,2019-06-10 11:15:06,2019-06-10 14:57:53,2019-06-10 15:01:22,2019-06-10 15:01:36,2019-06-10 18:21:13,,2019-06-10 06:31:40,2019-06-10 18:00:00,s_2019-06-10_21:00,2.0,0 days 11:49:33
37,2235663,2019-06-10 11:06:19,2019-06-10 11:16:03,2019-06-10 11:21:05,2019-06-10 11:22:42,2019-06-10 11:24:18,2019-06-10 18:21:12,,2019-06-10 06:35:38,2019-06-10 18:00:00,s_2019-06-10_21:00,1.0,0 days 11:45:34
38,2235695,2019-06-10 11:06:34,2019-06-10 11:22:40,2019-06-10 11:22:44,2019-06-10 11:25:34,2019-06-10 11:27:02,2019-06-10 18:21:13,,2019-06-10 07:27:31,2019-06-10 18:00:00,s_2019-06-10_21:00,5.0,0 days 10:53:42
39,2235698,2019-06-10 07:36:18,2019-06-10 07:42:29,2019-06-10 07:43:09,2019-06-10 08:07:09,2019-06-10 08:18:52,2019-06-10 16:29:21,,2019-06-10 07:32:30,2019-06-10 14:00:00,z_2019-06-10_17:00,3.0,0 days 08:56:51
40,2235703,2019-06-10 11:10:10,2019-06-10 11:10:10,2019-06-10 17:02:17,2019-06-10 17:05:31,2019-06-10 17:08:10,2019-06-10 18:21:12,,2019-06-10 07:39:30,2019-06-10 18:00:00,s_2019-06-10_21:00,1.0,0 days 10:41:42
41,2235710,2019-06-10 07:56:59,2019-06-10 08:08:49,2019-06-10 10:09:14,2019-06-10 10:38:03,2019-06-10 10:40:01,2019-06-10 16:29:24,,2019-06-10 07:54:31,2019-06-10 14:00:00,z_2019-06-10_17:00,5.0,0 days 08:34:53
42,2235717,2019-06-10 08:02:49,2019-06-10 08:21:33,2019-06-10 08:22:09,2019-06-10 09:03:16,2019-06-10 09:07:22,2019-06-10 16:29:23,,2019-06-10 08:00:37,2019-06-10 14:00:00,z_2019-06-10_17:00,7.0,0 days 08:28:46
43,2235725,2019-06-10 11:10:10,2019-06-10 12:21:16,2019-06-10 12:35:48,2019-06-10 12:48:25,2019-06-10 12:51:45,2019-06-10 18:21:13,,2019-06-10 08:20:38,2019-06-10 18:00:00,s_2019-06-10_21:00,7.0,0 days 10:00:35
44,2235749,2019-06-10 08:59:40,2019-06-10 09:08:19,2019-06-10 09:08:36,2019-06-10 09:12:40,2019-06-10 09:24:55,2019-06-10 20:16:40,,2019-06-10 08:57:31,2019-06-10 10:00:00,l_2019-06-10_13:00,5.0,0 days 11:19:09
45,2235768,2019-06-10 11:14:26,2019-06-10 11:30:44,2019-06-10 11:35:36,2019-06-10 11:39:57,2019-06-10 11:42:09,2019-06-10 18:21:15,,2019-06-10 09:21:31,2019-06-10 18:00:00,s_2019-06-10_21:00,11.0,0 days 08:59:44
46,2235780,2019-06-10 11:14:32,2019-06-10 11:20:50,2019-06-10 11:21:24,2019-06-10 11:25:08,2019-06-10 11:26:08,2019-06-10 18:21:14,,2019-06-10 09:33:31,2019-06-10 18:00:00,s_2019-06-10_21:00,2.0,0 days 08:47:43
47,2235781,2019-06-10 11:14:49,2019-06-10 11:26:31,2019-06-10 11:27:48,2019-06-10 11:30:11,2019-06-10 11:35:44,2019-06-10 18:21:17,,2019-06-10 09:34:32,2019-06-10 18:00:00,s_2019-06-10_21:00,12.0,0 days 08:46:45
48,2235790,2019-06-10 11:21:44,2019-06-10 11:47:22,2019-06-10 11:51:28,2019-06-10 12:34:29,2019-06-10 12:45:11,2019-06-10 18:21:19,,2019-06-10 09:49:32,2019-06-10 18:00:00,s_2019-06-10_21:00,7.0,0 days 08:31:47
49,2235807,2019-06-10 10:08:04,2019-06-10 11:52:53,2019-06-10 12:07:48,2019-06-10 12:10:39,2019-06-10 12:16:32,2019-06-10 16:29:27,,2019-06-10 10:05:28,2019-06-10 14:00:00,z_2019-06-10_17:00,16.0,0 days 06:23:59
50,2235810,2019-06-10 10:11:54,2019-06-10 10:11:54,2019-06-10 10:45:37,2019-06-10 10:49:40,2019-06-10 11:06:58,2019-06-10 16:29:26,,2019-06-10 10:06:26,2019-06-10 14:00:00,z_2019-06-10_17:00,1.0,0 days 06:23:00
51,2235813,2019-06-10 10:12:39,2019-06-10 10:22:14,2019-06-10 10:39:16,2019-06-10 10:45:36,2019-06-10 10:47:29,2019-06-10 16:29:25,,2019-06-10 10:12:26,2019-06-10 14:00:00,z_2019-06-10_17:00,4.0,0 days 06:16:59
52,2235816,2019-06-10 11:26:23,2019-06-10 11:40:38,2019-06-10 11:41:13,2019-06-10 11:51:27,2019-06-10 12:02:04,2019-06-10 18:21:18,,2019-06-10 10:09:26,2019-06-10 18:00:00,s_2019-06-10_21:00,7.0,0 days 08:11:52
53,2235840,2019-06-10 14:36:52,2019-06-10 16:31:47,2019-06-10 17:18:46,2019-06-10 17:29:08,2019-06-10 17:30:19,2019-06-10 20:19:57,,2019-06-10 10:43:27,2019-06-10 18:30:00,l_2019-06-10_21:30,8.0,0 days 09:36:30
54,2235864,2019-06-10 11:26:44,2019-06-10 11:36:20,2019-06-10 11:47:50,2019-06-10 11:59:04,2019-06-10 12:18:03,2019-06-10 18:21:16,,2019-06-10 11:03:26,2019-06-10 18:00:00,s_2019-06-10_21:00,7.0,0 days 07:17:50
55,2235867,2019-06-10 11:13:06,2019-06-10 11:20:15,2019-06-10 11:20:23,2019-06-10 11:21:47,2019-06-10 12:06:24,2019-06-10 16:29:26,,2019-06-10 11:10:32,2019-06-10 14:00:00,z_2019-06-10_17:00,5.0,0 days 05:18:54
56,2235879,2019-06-10 14:38:57,2019-06-10 14:46:08,2019-06-10 17:28:45,2019-06-10 17:31:01,2019-06-10 17:35:20,2019-06-10 20:19:57,,2019-06-10 11:16:30,2019-06-10 18:30:00,l_2019-06-10_21:30,1.0,0 days 09:03:27
57,2235891,2019-06-10 11:29:53,2019-06-10 11:37:02,2019-06-10 16:10:45,2019-06-10 16:14:57,2019-06-10 16:16:10,2019-06-10 18:21:18,,2019-06-10 11:21:28,2019-06-10 18:00:00,s_2019-06-10_21:00,1.0,0 days 06:59:50
58,2235902,2019-06-10 14:39:27,2019-06-10 14:45:38,2019-06-10 17:23:20,2019-06-10 17:30:07,2019-06-10 17:34:52,2019-06-10 20:19:57,,2019-06-10 11:32:27,2019-06-10 18:30:00,l_2019-06-10_21:30,1.0,0 days 08:47:30
59,2235935,2019-06-10 12:33:44,2019-06-10 12:40:16,2019-06-10 14:49:57,2019-06-10 14:55:07,2019-06-10 14:58:35,2019-06-10 18:21:25,,2019-06-10 12:00:28,2019-06-10 18:00:00,s_2019-06-10_21:00,4.0,0 days 06:20:57
60,2235944,2019-06-10 12:34:53,2019-06-10 12:41:33,2019-06-10 13:04:40,2019-06-10 13:12:28,2019-06-10 13:13:17,2019-06-10 18:21:20,,2019-06-10 12:07:30,2019-06-10 18:00:00,s_2019-06-10_21:00,3.0,0 days 06:13:50
61,2235955,2019-06-10 12:35:09,2019-06-10 12:40:30,2019-06-10 12:47:59,2019-06-10 12:50:48,2019-06-10 12:53:12,2019-06-10 18:21:18,,2019-06-10 12:15:28,2019-06-10 18:00:00,s_2019-06-10_21:00,4.0,0 days 06:05:50
62,2235978,2019-06-10 12:54:36,2019-06-10 13:28:15,2019-06-10 13:28:57,2019-06-10 13:53:10,2019-06-10 13:57:56,2019-06-10 18:21:22,,2019-06-10 12:52:28,2019-06-10 18:00:00,s_2019-06-10_21:00,12.0,0 days 05:28:54
63,2235997,2019-06-10 13:21:46,2019-06-10 13:50:06,2019-06-10 13:53:12,2019-06-10 13:58:30,2019-06-10 14:00:00,2019-06-10 18:21:23,,2019-06-10 13:21:27,2019-06-10 18:00:00,s_2019-06-10_21:00,7.0,0 days 04:59:56
64,2236396,2019-06-10 12:35:54,2019-06-10 12:35:54,2019-06-10 16:57:21,2019-06-10 17:02:27,2019-06-10 17:03:17,2019-06-10 18:21:10,,2019-06-10 04:15:38,2019-06-10 18:00:00,s_2019-06-10_21:00,1.0,0 days 14:05:32
65,2236411,2019-06-10 12:35:55,2019-06-10 12:42:45,2019-06-10 12:48:14,2019-06-10 12:51:03,2019-06-10 12:54:01,2019-06-10 18:21:11,,2019-06-10 04:54:28,2019-06-10 18:00:00,s_2019-06-10_21:00,2.0,0 days 13:26:43
66,2236416,2019-06-10 05:20:18,2019-06-10 05:58:58,2019-06-10 07:24:04,2019-06-10 07:34:19,2019-06-10 07:39:54,2019-06-10 20:16:37,,2019-06-10 05:15:47,2019-06-10 10:00:00,l_2019-06-10_13:00,5.0,0 days 15:00:50
67,2236455,2019-06-10 06:46:31,2019-06-10 06:56:41,2019-06-10 07:01:48,2019-06-10 07:07:13,2019-06-10 07:07:52,2019-06-10 20:16:38,,2019-06-10 06:44:30,2019-06-10 10:00:00,l_2019-06-10_13:00,6.0,0 days 13:32:08
68,2236474,2019-06-10 07:24:48,2019-06-10 07:36:20,2019-06-10 07:50:04,2019-06-10 08:34:40,2019-06-10 08:41:07,2019-06-10 20:16:37,,2019-06-10 07:22:30,2019-06-10 10:00:00,l_2019-06-10_13:00,12.0,0 days 12:54:07
69,2236493,2019-06-10 12:36:23,2019-06-10 12:42:07,2019-06-10 16:20:45,2019-06-10 16:27:28,2019-06-10 16:31:21,2019-06-10 18:21:12,,2019-06-10 07:48:30,2019-06-10 18:00:00,s_2019-06-10_21:00,3.0,0 days 10:32:42
70,2236516,2019-06-10 08:16:19,2019-06-10 09:08:42,2019-06-10 09:09:00,2019-06-10 09:12:54,2019-06-10 09:25:53,2019-06-10 20:16:39,,2019-06-10 08:13:31,2019-06-10 10:00:00,l_2019-06-10_13:00,12.0,0 days 12:03:08
71,2236531,2019-06-10 12:36:38,2019-06-10 12:43:30,2019-06-10 15:45:59,2019-06-10 15:51:41,2019-06-10 15:54:10,2019-06-10 18:21:13,,2019-06-10 08:30:37,2019-06-10 18:00:00,s_2019-06-10_21:00,3.0,0 days 09:50:36
72,2236555,2019-06-10 12:37:18,2019-06-10 12:45:59,2019-06-10 12:58:05,2019-06-10 13:04:08,2019-06-10 13:05:06,2019-06-10 18:21:19,,2019-06-10 09:09:30,2019-06-10 18:00:00,s_2019-06-10_21:00,4.0,0 days 09:11:49
73,2236559,2019-06-10 14:40:02,2019-06-10 16:30:49,2019-06-10 17:18:41,2019-06-10 17:23:20,2019-06-10 17:28:58,2019-06-10 20:19:56,,2019-06-10 09:13:34,2019-06-10 18:30:00,l_2019-06-10_21:30,18.0,0 days 11:06:22
74,2236573,2019-06-10 12:37:48,2019-06-10 12:45:34,2019-06-10 15:42:32,2019-06-10 15:46:33,2019-06-10 15:47:04,2019-06-10 18:21:14,,2019-06-10 09:30:37,2019-06-10 18:00:00,s_2019-06-10_21:00,6.0,0 days 08:50:37
75,2236582,2019-06-10 14:45:27,2019-06-10 15:22:03,2019-06-10 17:22:55,2019-06-10 17:29:54,2019-06-10 17:31:50,2019-06-10 20:19:57,,2019-06-10 09:39:31,2019-06-10 18:30:00,l_2019-06-10_21:30,20.0,0 days 10:40:26
76,2236591,2019-06-10 12:39:20,2019-06-10 12:44:03,2019-06-10 16:57:01,2019-06-10 16:59:19,2019-06-10 17:00:06,2019-06-10 18:21:16,,2019-06-10 09:56:28,2019-06-10 18:00:00,s_2019-06-10_21:00,3.0,0 days 08:24:48
77,2236605,2019-06-10 14:52:12,2019-06-10 16:31:29,2019-06-10 17:18:36,2019-06-10 17:22:54,2019-06-10 17:27:41,2019-06-10 20:19:57,,2019-06-10 10:22:27,2019-06-10 18:30:00,l_2019-06-10_21:30,12.0,0 days 09:57:30
78,2236609,2019-06-10 10:13:59,2019-06-10 10:21:09,2019-06-10 10:37:51,2019-06-10 10:40:35,2019-06-10 10:45:21,2019-06-10 16:29:26,,2019-06-10 10:12:30,2019-06-10 14:00:00,z_2019-06-10_17:00,3.0,0 days 06:16:56
79,2236620,2019-06-10 12:40:19,2019-06-10 12:47:53,2019-06-10 12:48:29,2019-06-10 12:56:40,2019-06-10 12:57:29,2019-06-10 18:21:16,,2019-06-10 10:33:26,2019-06-10 18:00:00,s_2019-06-10_21:00,8.0,0 days 07:47:50
80,2236626,2019-06-10 12:40:39,2019-06-10 13:26:57,2019-06-10 13:28:42,2019-06-10 13:46:46,2019-06-10 13:55:35,2019-06-10 18:21:20,,2019-06-10 10:35:27,2019-06-10 18:00:00,s_2019-06-10_21:00,8.0,0 days 07:45:53
81,2236629,2019-06-10 10:41:31,2019-06-10 11:54:53,2019-06-10 12:10:43,2019-06-10 12:34:44,2019-06-10 12:43:33,2019-06-10 16:29:25,,2019-06-10 10:38:26,2019-06-10 14:00:00,z_2019-06-10_17:00,11.0,0 days 05:50:59
82,2236650,2019-06-10 12:44:41,2019-06-10 12:53:42,2019-06-10 12:56:45,2019-06-10 12:58:13,2019-06-10 12:59:26,2019-06-10 18:21:16,,2019-06-10 11:02:26,2019-06-10 18:00:00,s_2019-06-10_21:00,7.0,0 days 07:18:50
84,2236735,2019-06-10 12:45:05,2019-06-10 12:50:38,2019-06-10 12:50:50,2019-06-10 12:56:56,2019-06-10 12:58:07,2019-06-10 18:21:18,,2019-06-10 12:31:26,2019-06-10 18:00:00,s_2019-06-10_21:00,4.0,0 days 05:49:52
85,2236774,2019-06-10 13:07:25,2019-06-10 13:28:41,2019-06-10 15:46:33,2019-06-10 15:51:00,2019-06-10 15:57:19,2019-06-10 18:21:18,,2019-06-10 13:01:27,2019-06-10 18:00:00,s_2019-06-10_21:00,14.0,0 days 05:19:51
86,2236777,2019-06-10 13:10:00,2019-06-10 13:10:00,2019-06-10 16:33:45,2019-06-10 16:38:49,2019-06-10 16:39:11,2019-06-10 18:21:27,,2019-06-10 13:08:27,2019-06-10 18:00:00,s_2019-06-10_21:00,1.0,0 days 05:13:00
87,2236821,2019-06-10 13:58:18,2019-06-10 14:22:30,2019-06-10 14:22:56,2019-06-10 14:26:42,2019-06-10 14:31:44,2019-06-10 18:21:23,,2019-06-10 13:57:27,2019-06-10 18:00:00,s_2019-06-10_21:00,5.0,0 days 04:23:56
88,2236841,2019-06-10 14:29:02,2019-06-10 14:35:12,2019-06-10 14:38:27,2019-06-10 14:44:55,2019-06-10 14:47:41,2019-06-10 18:21:24,,2019-06-10 14:28:27,2019-06-10 18:00:00,s_2019-06-10_21:00,4.0,0 days 03:52:57
89,2236842,2019-06-10 14:30:17,2019-06-10 14:30:17,2019-06-10 14:48:57,2019-06-10 14:54:34,2019-06-10 14:57:39,2019-06-10 18:21:24,,2019-06-10 14:28:32,2019-06-10 18:00:00,s_2019-06-10_21:00,1.0,0 days 03:52:52
90,2236844,2019-06-10 14:33:27,2019-06-10 14:41:06,2019-06-10 14:41:32,2019-06-10 14:48:12,2019-06-10 14:50:50,2019-06-10 18:21:23,,2019-06-10 14:32:27,2019-06-10 18:00:00,s_2019-06-10_21:00,4.0,0 days 03:48:56
91,2236877,2019-06-10 15:42:58,2019-06-10 15:56:30,2019-06-10 15:57:05,2019-06-10 16:00:01,2019-06-10 16:02:48,2019-06-10 18:21:24,,2019-06-10 15:26:27,2019-06-10 18:00:00,s_2019-06-10_21:00,1.0,0 days 02:54:57
92,2236881,2019-06-10 15:43:04,2019-06-10 15:53:42,2019-06-10 15:53:56,2019-06-10 15:56:52,2019-06-10 15:59:31,2019-06-10 18:21:25,,2019-06-10 15:36:28,2019-06-10 18:00:00,s_2019-06-10_21:00,5.0,0 days 02:44:57
93,2236921,2019-06-10 16:38:28,2019-06-10 16:47:05,2019-06-10 17:09:21,2019-06-10 17:11:44,2019-06-10 17:16:32,2019-06-10 18:21:27,,2019-06-10 16:38:27,2019-06-10 18:00:00,s_2019-06-10_21:00,8.0,0 days 01:43:00
94,2236924,2019-06-10 17:37:51,2019-06-10 17:47:30,2019-06-10 17:47:34,2019-06-10 17:48:50,2019-06-10 17:52:08,2019-06-10 18:21:28,,2019-06-10 17:08:26,2019-06-10 18:00:00,s_2019-06-10_21:00,8.0,0 days 01:13:02
95,2236933,2019-06-10 17:38:04,2019-06-11 05:41:57,2019-06-11 06:46:47,2019-06-11 06:51:57,2019-06-11 06:54:21,2019-06-11 14:41:57,,2019-06-10 17:04:24,2019-06-11 14:00:00,z_2019-06-11_17:00,4.0,0 days 21:37:33
96,2236934,2019-06-10 17:43:04,2019-06-11 05:56:10,2019-06-11 06:54:44,2019-06-11 06:58:21,2019-06-11 06:59:32,2019-06-11 17:52:35,,2019-06-10 17:04:26,2019-06-11 18:00:00,s_2019-06-11_21:00,11.0,1 days 00:48:09
97,2236956,2019-06-11 05:52:14,2019-06-11 05:58:45,2019-06-11 06:53:39,2019-06-11 06:59:05,2019-06-11 07:00:56,2019-06-11 17:52:37,,2019-06-10 17:31:27,2019-06-11 18:00:00,s_2019-06-11_21:00,3.0,1 days 00:21:10
98,2236959,2019-06-11 05:53:09,2019-06-11 06:23:56,2019-06-11 06:47:07,2019-06-11 06:53:35,2019-06-11 06:55:53,2019-06-11 17:52:35,,2019-06-10 17:32:24,2019-06-11 18:00:00,s_2019-06-11_21:00,10.0,1 days 00:20:11
99,2236969,2019-06-11 05:58:35,2019-06-11 06:04:22,2019-06-11 08:46:07,2019-06-11 08:50:39,2019-06-11 08:51:41,2019-06-11 17:52:34,,2019-06-10 17:51:24,2019-06-11 18:00:00,s_2019-06-11_21:00,2.0,1 days 00:01:10
101,2236977,2019-06-11 05:59:10,2019-06-11 06:04:38,2019-06-11 08:47:07,2019-06-11 08:51:41,2019-06-11 09:16:45,2019-06-11 17:52:36,,2019-06-10 18:12:24,2019-06-11 18:00:00,s_2019-06-11_21:00,3.0,0 days 23:40:12
